
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        168 K
Secure System                  236 Services                   0    111,012 K
Registry                       280 Services                   0     35,588 K
smss.exe                       848 Services                   0      1,488 K
csrss.exe                     1260 Services                   0      6,012 K
wininit.exe                   1444 Services                   0      8,908 K
csrss.exe                     1452 Console                    1      6,804 K
winlogon.exe                  1544 Console                    1     15,464 K
services.exe                  1572 Services                   0     10,712 K
LsaIso.exe                    1612 Services                   0      3,940 K
lsass.exe                     1620 Services                   0     31,784 K
svchost.exe                   1760 Services                   0     35,972 K
fontdrvhost.exe               1788 Console                    1     10,884 K
fontdrvhost.exe               1796 Services                   0      4,668 K
svchost.exe                   1884 Services                   0     18,628 K
svchost.exe                   1936 Services                   0     13,784 K
dwm.exe                       2028 Console                    1     89,908 K
svchost.exe                   1220 Services                   0      6,996 K
svchost.exe                   1456 Services                   0     11,368 K
svchost.exe                   2088 Services                   0     15,576 K
svchost.exe                   2100 Services                   0     18,320 K
svchost.exe                   2108 Services                   0      9,948 K
svchost.exe                   2116 Services                   0     10,972 K
svchost.exe                   2312 Services                   0     13,276 K
svchost.exe                   2320 Services                   0      7,840 K
svchost.exe                   2328 Services                   0     15,216 K
svchost.exe                   2336 Services                   0     12,396 K
svchost.exe                   2484 Services                   0     16,724 K
svchost.exe                   2512 Services                   0     10,408 K
svchost.exe                   2588 Services                   0      7,316 K
svchost.exe                   2632 Services                   0     20,756 K
svchost.exe                   2676 Services                   0     13,496 K
svchost.exe                   2720 Services                   0     10,792 K
svchost.exe                   2780 Services                   0     10,132 K
svchost.exe                   2924 Services                   0     21,960 K
svchost.exe                   3048 Services                   0     13,032 K
svchost.exe                   3144 Services                   0      8,968 K
svchost.exe                   3384 Services                   0     16,492 K
svchost.exe                   3472 Services                   0     19,372 K
amdfendrsr.exe                3480 Services                   0      9,840 K
atiesrxx.exe                  3488 Services                   0     10,192 K
svchost.exe                   3584 Services                   0      8,896 K
atieclxx.exe                  3716 Console                    1     19,724 K
svchost.exe                   3724 Services                   0     19,012 K
svchost.exe                   3728 Services                   0     10,244 K
svchost.exe                   3740 Services                   0      7,580 K
svchost.exe                   3840 Services                   0     20,740 K
Memory Compression            3880 Services                   0    613,008 K
svchost.exe                   3932 Services                   0     11,040 K
svchost.exe                   3988 Services                   0     10,944 K
svchost.exe                   4004 Services                   0     10,228 K
svchost.exe                   3316 Services                   0      8,436 K
svchost.exe                   1252 Services                   0     18,516 K
svchost.exe                   3096 Services                   0      8,568 K
svchost.exe                   3076 Services                   0     26,444 K
svchost.exe                   4124 Services                   0      9,184 K
svchost.exe                   4224 Services                   0     23,696 K
svchost.exe                   4304 Services                   0     18,252 K
spoolsv.exe                   4508 Services                   0     18,572 K
svchost.exe                   4572 Services                   0     10,384 K
AmdPpkgSvc.exe                4680 Services                   0      6,116 K
svchost.exe                   4692 Services                   0     60,292 K
svchost.exe                   4700 Services                   0     25,884 K
svchost.exe                   4708 Services                   0     36,276 K
svchost.exe                   4716 Services                   0     15,020 K
svchost.exe                   4724 Services                   0     10,816 K
Salad.Bootstrapper.exe        4748 Services                   0     49,220 K
WTabletServicePro.exe         4756 Services                   0     11,628 K
wslservice.exe                4760 Services                   0     32,048 K
svchost.exe                   4772 Services                   0      7,228 K
svchost.exe                   4780 Services                   0     24,240 K
svchost.exe                   4788 Services                   0     25,212 K
MpDefenderCoreService.exe     4800 Services                   0     23,968 K
MsMpEng.exe                   4808 Services                   0    298,724 K
svchost.exe                   5700 Services                   0     12,068 K
svchost.exe                   5308 Services                   0     11,052 K
svchost.exe                   6748 Services                   0     22,944 K
svchost.exe                   6836 Services                   0      9,452 K
svchost.exe                   6972 Services                   0     14,684 K
NgcIso.exe                    7052 Services                   0      4,988 K
svchost.exe                   7068 Services                   0     15,840 K
AggregatorHost.exe            6520 Services                   0     10,140 K
svchost.exe                   6568 Services                   0     34,360 K
wlanext.exe                   6720 Services                   0    146,684 K
Intel_PIE_Service.exe         6940 Services                   0     12,452 K
